ID,sex,nticks
1,m,0
2,f,45
3,m,3
4,f,5
5,f,0
6,f,3
7,m,6
8,f,0
9,f,0
10,f,1
11,m,1
12,f,3
13,m,0
14,m,2
15,m,0
16,f,6
17,m,4
18,f,1
19,f,0
20,f,9
21,f,5
22,f,1
23,f,0
24,f,0
25,m,13
26,m,6
27,f,3
28,f,0
29,f,8
30,m,1
31,f,0
32,f,1
33,f,0
34,m,6
35,f,5
36,m,3
37,f,32
38,m,7
39,f,8
40,m,0
41,m,9
42,m,1
